canonical,forms,pos,doc_freq,mean_surprisal,examples,meaning,kind
черта,черт / черта,сущ.,5,9.899888157844543,"Крокодил черт ||| я 2009 ни черта не поняла ||| ​@АхОх-ц8бни черта не понятно,кроме курва!",,ru_dict
заболеть,заболел / заболела / заболели,глаг.,5,13.276544605899188,Он заболел кое чем похуже... 67 ||| Ох... Арти даже ты этим заболел.. ||| Все заболели ТОХАФОБЕЙ,,ru_dict
жир,жир / жира,сущ.,5,12.06697154045105,Также литр жира и эу пацан: маня пакажи ||| Один литр жира вам или 2 другому ||| А я реально подумал то что это реальный жир😅,,ru_dict
заклинание,заклинание / заклинания,сущ.,5,10.521084189414978,"на втором он как заклинание читает😂 ||| А если прочитать с другой сторони ""пикмуха""получиться заклинание ||| Он стырел мое заклинание.",,ru_dict
точнее,точнее,союз,5,9.773732948303223,"Я успел там другого слова выйти точнее из игры Я успел выйти пока никто не украли ||| Это не пикми. Немного, точнее конкретно путаете понятие ||| Вошли если быть точнее",,ru_dict
сушить,суша / суши,глаг.,5,13.689307451248169,Суши роли даширак.. ||| ​@xFORTUNAxAI ну суши такой руки свои силы показывает ||| Я всех угадал кроме бобрито тралалито барито и кошка суши,,ru_dict
чеченский,чеченская / чеченский / чеченским / чеченских / чеченскую,прил.,5,17.796253728866578,"дагестанским дпс заслуженное уважение а чеченским позор,алкаша  прикрывают. ||| 2 чеченская что дальше , если ВВ хавает такое , значит и не защитник народа . ||| а нам поффиг=)) дагские менты ноль , кто против пойдет Чеченских бойцов? никто , духа нет",,ru_dict
sht,sht,межд.,5,23.232015132904053,"The ""six seven"" kid has had enough sht fr","нецензурное или грубое слово, вероятно ругательство или выражение крайнего раздражения",lat
дура,дур / дура / дуры,сущ.,5,14.04987981584337,Дура это песня ||| Америка дура.. ||| Мы ещё от дуры не сошли а тут КрИньЖ,,ru_dict
хулиган,хулиган / хулигана / хулиганы,сущ.,5,13.894036293029785,Офигеть хулиган как это смог сделать Офигеть это самые редкие почти😮 ||| Хулиган тебе повезло я тебя поздравляю хулибам🎉 ||| Хулиган ты тебе сегодня повезло очень круто,,ru_dict
самолёт,самолеты / самолёт / самолёта,сущ.,5,12.507558080885145,Кто купит бреинрота Лос 67 230млн в сек на ковёр самолёт ||| Давай крокодила и самолёта ||| Скиньте го с космоса как тот чел из самолёта,,ru_dict
самия,самий,сущ.,5,18.405299758911134,Ти самий класний ютубер ||| Емааа холи бам лос годсподитос ето самий редкий боеинрот! Ти лутший! ||| Тот самий анатохич: кажется у меня конкуренти,,ru_dict
важный,важнее / важного / важны / важный,прил.,5,13.889150381088257,Вам что нубини пиццанини важнее чем за моего любимого Брейн рота которая он лучше чем фигня для нубов ||| Какой важный) ||| ​@1dorner12 чел никто не лучше все важны,,ru_dict
сакура,сакур / сакура,сущ.,5,18.513917684555054,Трипа тропа тралала лириларила тун тун сакур бонека тун тун тралалело трипа тропа крокодина ||| Ты что тун-тун сакура сделали его секреткой😊 и он вернулся😂 ||| Тум тум тум сакур слабый,,ru_dict
рак,рак / рака,сущ.,5,11.80238978068034,"Я написал рак мозга мне это видео покозали ||| На последнюю стадию рака автора ||| ни когда не надейся на рандом, рак кубов это база :)",,ru_dict
желать,желаю,глаг.,5,10.832224464416504,Лёня ты прекрасный парень крутой песня бомба желаю 1Т подписчиков ПОКА ||| ты лучший ты получишь всех брейнротов которых захочешь желаю тебе кучу строубери Элефант ||| У тебя в играх всегда удача желаю всем токого удачи,,ru_dict
частый,почаще / чаще,прил.,5,10.058576156695683,Блин Пускай почаще такие ролики я примерно 200 раз посмотрел ||| Можно почаще такие видео если на этом комментарии будет 20 лайков музыка новая будет ||| У Остапа треки выходят чаще чем я моргаю😂,,ru_dict
сумка,сумка / сумками,сущ.,5,11.577426791191101,Он в шутку сказал этот мем или он реально сумка без м ||| Что за сумка у пикми образа? ||| я думал я один замечаю иностранных специалистов с сумками лв/гучи,,ru_dict
шикарный,шикарен / шикарна / шикарная / шикарный,прил.,5,12.192098041065037,"Это обязан оценить дафук ведь эта анимация шикарна ||| Оаоаоаоаоа она шикарна ||| Привет Комори, это я Суши, обработка шикарная",,ru_dict
врать,врешь / ври / врут,глаг.,5,14.503491534127129,ВРЕШЬ ||| @OrenExENYT гараммарарагараммарарамар ето монтаж они спицально врут ||| Не ври твоя кошка побежала исполнителей этой так скажем песни депать в казик,,ru_dict
битва,битву / битвы,сущ.,5,12.853416681289673,Жду битву крокодилды против аналконды ||| Классный рисунок из маг битвы ||| Нолик накопил ульту как в сильнейшие поля битвы,,ru_dict
скрытый,скрытый / скрытых,прил.,5,11.198165200650692,"У автора скрытый талант 
Пусть дальше скрывает ||| У газана был скрытый талант пусть его скрывает дальше... ||| У коменатора есть скрытый талант
Пусть скрывает",,ru_dict
гроб,гроб / гробу,сущ.,5,14.608824327588081,А если перед мамой послушать? Ща попробую если чо заказывайте гроб я пошел ||| Минус анатохичь… цветы на комент(гроб) ||| После крыши сразу в гроб😂,,ru_dict
болеть,болеет / болеешь / болел / болела,глаг.,5,11.889463759027421,Ты ещё что болеешь телефон с собой сказал ||| Мая сестрёнка болеет когда Ана плакала я включила это и Ана уснула ||| Сидим з бабром за столом 2 на ужин готовим паляну давай поговорим  бобёр о том  сто На болела лайк поставил  я старался😢,,ru_dict
гора,горе,сущ.,5,11.826951026916504,у Горе случилось горе) ||| У Горе не полноценная семья? ||| Я смотрю и щас такая стоп...Сильвинит? Бедная Горе,,ru_dict
гореть,горит / горящем,глаг.,5,11.337066173553467,И пусть в  аду горит Аллах всемогущий ||| Гномик горит как у такой ахатович всё знает а к домик разозлился ||| А мир горит?,,ru_dict
госпожа,госпожа / госпожи,сущ.,5,11.581771939992905,​@СергейШарапов-ю9бто есть лгбт и смена ролей или даже госпожа и раб... Такой посыл? ||| Этот трек вышел в мой др и трек поиски госпожи эвилин тоже в мой др вышел ||| 3 можно медалькуу Госпожа Эвелин лучшаяяя❤,,ru_dict
битый,бита / битой,прил.,5,13.771950242420036,А с каких пор thung thung thung sagur самым сильным этоже буквально просто бита с битой😶 ||| Читсо за мной бежит мой пьяный папа с битой как тун Тун тун дилдун😂 ||| Когда апельсин и какая то бита стали животными,,ru_dict
смерть,смертей / смерть,сущ.,5,11.932600319385529,"топ 1 смертей в аниме ||| Топ аниме смертей ||| [Текст песни «Скибиди туалет»]

Все начинается с конца
Каждый день вижу смерть от первого лица
Каждый день продолжается военный репортаж 
Новый день - новый персонаж 
Все идет задом наперед
Сегод",,ru_dict
грустно,грустно,нареч.,5,14.418562650680542,"Тест на мужчину:это грустно? ||| соболезную квадроберам, болеть бешенством очень грустно ||| Когда он сказал сынок меня добило мне грустно😢",,ru_dict
глас,глас,сущ.,5,18.793275308609008,"Уникален глас има Софи Маринова,песента на практика си я пее тя!!!
Докато Дамян само говори в нея!!! ||| Какъв мощен глас❤ ||| Хаха в него глас випал😂",,ru_dict
гниение,гниение / гниения,сущ.,5,18.759598116079964,Брейнрот переводится гниение мозга ||| Кринжовый кот атос снимает гниения мозга иза этой брейнротов пропадает ай-кью и ты становишься тупым ||| Треш контент кринж контент надеюсь ты будешь снимать норм контент а не это гниения мозга,,ru_dict
алмазный,алмазная / алмазный,прил.,5,18.48257714509964,"С кем трейд с удин дин дин дун обычный , лос бомбинитос обычный 220 к, тралалеро тралала алмазная 75 к, кокофанто элефанто лавовый 105 к. ||| У меня вчера выпал спагети туалети алмазный ||| Моему брату 67 алмазный выпол💀",,ru_dict
гусь,гусей / гусь / гуся,сущ.,5,16.068045483695137,Гусь-не суюсь ||| Теперь я подписан на второй канал лучшего Гуся в интернете ||| Это Гусь,,ru_dict
труп,труп / трупа,сущ.,5,10.406189203262329,"Эх кто знает кота синего убийцу бригада он вкл стрим и в конце забыл выключить камеру и труп чистил ||| [Текст песни «Скибиди туалет»]

Все начинается с конца
Каждый день вижу смерть от первого лица
Каждый день продолжается военный репортаж 
Новый день - новый персонаж 
Все идет задом наперед
Сегод ||| Заколебался переводить, но было интересно)) Топ дроп 
___________________________________________________________

Все начинается с конца, 
каждый день вижу смерть от первого лица
Каждый день продол",,ru_dict
действовать,действовал / действует / действующем,глаг.,5,14.80000070730845,400 пуль... Ты действовал наверняка ||| @ГалаСарапотому что на них не действует)) ||| Нельзя ППР ещё действует😅,,ru_dict
выбрать,выбери / выбрал,глаг.,5,10.561518112818401,Я тебя обожаю как ты выбрал этот тренд я тебе встать смотрю меня зовут Алихан ||| Он выбрал быть счастливым ||| Пикми это типо выбери меня а не то что Ана такая вдруг у её залогало и когда Ана включить он её взял ты не понимаешь слово пикми!,,ru_dict
бросить,бросил / бросить / брошенным,глаг.,5,9.981101632118225,"Спасибо большое занимаетесь,кому они нужны были ещё а сейчас может в соцыум вернуться!!!Люди как бросить ||| Да ты бросил чихол когда бросил андроид ||| Ты не android бросил чехол",,ru_dict
домашний,домашнее / домашнем / домашние / домашним,прил.,5,11.966430068016052,когда домашнее задание приследовает тебя ||| А ничего что Вика давно на домашнем обучение ||| Не правда Вика просто на домашнем обучение,,ru_dict
сдохнуть,сдох / сдохнет / сдохнуть,глаг.,5,16.23030747969945,Бро Гарден сдох а брукхэвен просто скучно ||| Я сдох блин.... ||| На 100 сдохнет или меньше.,,ru_dict
доп,доп,сущ.,5,12.144759151670668,он шкибиди доп ||| В 77 фулл эпизоде нам показали первую доп сцену с Новой Зеландией ||| «Скибиди доп доп доп йес йес»,,ru_dict
редкость,редкости / редкость,сущ.,5,13.416775703430176,Я думаю после редкости OG будет BOSS ||| У него секретная редкость ||| Тока в «окак» попало и то редкость 🫡,,ru_dict
тихо,тихо,нареч.,5,9.235336542129517,Тихо щас расстроишь дачника ||| Крокодилы бомбардиро тихо курит в сторонке😢 ||| @nensy22очень похуй на ваше мнение) можете смеяться тихо в подушку,,ru_dict
башка,башке / башкой / башку,сущ.,5,13.865615752008226,тот самый ты в украли брейнрот: на По БАШКЕ ) ||| Я металлюга пробитый на башку. Про бобра с ЖК слушаю. ||| Ржу от его порашута на башке и пальцы как кошка облизывает,,ru_dict
алсу,алсу,сущ.,5,16.205208587646485,Особенно вступление Алсу ||| Мне 34 сыну 5 теперь эта наша песня с ним особенно припев алсу четко залетел) уважуха ||| Песню Алсу по авторским исключили?,,ru_dict
девственность,девственности / девственность,сущ.,5,11.26730740070343,"Спасибо Газану за девственность ||| Девственности* ||| А его друг детства сохранил камень вечной любвьи гг как помню, видимо потери девственность будет другим путем",,ru_dict
шпион,шпион / шпиона,сущ.,5,11.36938226222992,Шпион Голуб Это сербски голуби это брат вот этого голубя в Голубцы ||| Шпион Голубе Это родной брат него или двоюродный ||| Шпион мира голуби,,ru_dict
украина,украине / украину / украины,сущ.,5,10.87904680437512,"Я играю в Украине брен рот ||| Не соглашусь что Украину нет ведь астро огромная армия и они встают во всех странах, эти страны так же Украина ещё не показаны до дафак говорил что в будущем добавлять больше стран в сериал ||| Можешь сказать нащёт Украины?",,ru_dict
шутить,шутит / шутить,глаг.,5,11.397137880325317,он шутит он не забыл ||| Хихи не стоило тебе шутить с гномиком ведь подписчики ему помогают😏 ||| Про меченого лучше не шутить........,,ru_dict
зелёный,зеленая / зелёной / зелёном / зелёный,прил.,5,13.08057750761509,Мы вначале в зелёном фоне увидели их часть квартиры😮 ||| такой абобус зелёный ||| Оло не забудь выделить зелёной пастой,,ru_dict
зеркало,зеркало,сущ.,5,10.677542209625244,​@Марина-ю3я5шв зеркало посмотрел? ||| Я повернула зеркало не волнуйся заюшь ||| Так не понял мне долго на зеркало смотреть,,ru_dict
сцена,сцене / сцену / сцены,сущ.,5,13.998052597045898,В 77 фулл эпизоде нам показали первую доп сцену с Новой Зеландией ||| Особенно во 2 сцене😂 ||| Почему в одной сцене Спасибо грязная футболка отпечаток кроссовок,,ru_dict
дробовик,дробовик,сущ.,5,13.310023204580649,Не а где твой дробовик  мог еще царь бомбу претащить ||| дайте ему дробовик гордона фримена тогда каждый будет знать что зря пропустил ||| О это же кинетический дробовик из фри файер😅😮,,ru_dict
бомж,бомж,сущ.,5,15.158567118644715,Сладенький открытку подарить я указанию заявил о чем вообще бомж или нет ||| Это я когда когда увидел у игрока секретку но он бомж😂 ||| Сектор газа бомж во ето имба а не сигма герл,,ru_dict
два,двумя,числит.,5,12.862350463867188,У меня такое было двумя детьми планетами ||| Продам лос 67 с двумя мутациями ||| Мне он тоже выподал этот бурито с двумя бафами,,ru_dict
дебил,дебил / дебила / дебилов,сущ.,5,13.97488983348012,"Дебил это когда старый украдите БРЕЙНОТ был он снимал раньше это крутой был ||| Так тралалело тралала не обзывает дебил нейройнка обзывает! ||| Никто ещё не придумывал рифму крокодило от создателя дебила, а титмаус смог.😂",,ru_dict
тигр,тигр / тигра / тигру,сущ.,5,13.316836754480997,Я уже сделал два свои русские брейнроты Я сделал капибару любитель сигарет и ананас тигр ||| Ай лев❤ ай тигр песня имба ||| Арти сделай видео где тигра с остальными учится мы хотем посмотреть как она себя в школе поквжет,,ru_dict
эго,эго,сущ.,5,11.05110969543457,эго не вернуть он был легендой😢 ||| Все советую посмотреть эго ||| Но потом он эго подорвал,,ru_dict
баба,баб / баба / бабу / бабы,сущ.,5,11.294222950935364,А я вообще люблю бабу делай новую песню я согласна ||| Природа у баб не по возрасту работает ||| Ушиб всей бабы.,,ru_dict
удивлённый,удивлен / удивлён,прил.,5,11.281304915746052,"Я удивлён потому что ему выпал после потохоспота спагетти туалет ||| Ты как всегда
 Я чат даже не удивлен ||| Я удивлен что таких людей как автора хейтят😮",,ru_dict
современный,современный / современных,прил.,5,12.081547896067303,"Почему так? Почему бомбомини гузини современный истребитель а его брат бомбардиро крокодило старый бомбардировщик 2 мировой ||| лучше чем современный окси, тут целых два панча ||| Слишком сложно ,℅99 Современных девок  отдаются на слово привет😊",,ru_dict
уважение,уважение,сущ.,5,11.306864964962006,"Крутой папа помог с анимацией уважение+ ||| дагестанским дпс заслуженное уважение а чеченским позор,алкаша  прикрывают. ||| Уважение честным полицейским.",,ru_dict
высокий,высокий / высоких / высокого / высшее / высших,прил.,5,12.267512893676757,Я высшее образование не для понимания этого дерbма получала😢 ||| это плюс высокого Клиренса ||| Магнат + Высокий Роллер = сила,,ru_dict
генерировать,генерировать / генерирует / генерирующая,глаг.,5,11.055558880170187,"Бедный чат гпт, заставляют кринж генерировать ||| Бедный чат жпт заставили генерировать фурии ||| @покеводя боюсь чтобы z патриоты не начали генерировать всякий бред,ну ты сам знаешь какого содержания",,ru_dict
ужасный,ужасная / ужасный,прил.,5,9.601772010326385,Фиксай а ты что любишь что ли Ты любишь быр быр пиво это же самый ужасный блин рот в мире Почему ты берёшь были потопил😂😂 ||| Там ужасный перевод кто согласен ответьте мне ||| Вы знали что поркодила поркола перевод чертовый алах это ужасный мем,,ru_dict
тень,теней / тени / тень,сущ.,5,11.24941635131836,Dragon в тени Рогун печенье ||| Дафак бум без эффектов и теней: ||| Это тень боббира это капеба,,ru_dict
брайан,брайан / брайане,сущ.,5,18.67099618911743,Вот этот Брайан рот сбитый это был job job job sahu ||| Pov Анатолий забыл что он теперь не будет снимать про brain road типичные его день когда он не знаешь Брайан роты ||| Я один увидел то что последний Брейн рот упал на сок у первого Брайан рота и получилось как будто он умер с кровью,,ru_dict
деградация,деградации / деградацию,сущ.,5,11.626559356751386,​@Клим-ъ7е мы живем ради минутной деградации ||| Финальный босс деградации ||| Продалжение деградации,,ru_dict
амбал,амбал / амбала,сущ.,4,16.04821983973185,Трипа тропа тралала лири лира тум тум сахур бонека тум тум тралалеро трипи тропа крокодило ор тум тум дин дун хапспо амбала бу гара марарам топ топи мокел ма дум дум дум ||| Бонека Амбала у меня просто телефон садится ||| Нет не бонеко кокоси а сигма бой бонеко амбала бу,,ru_dict
рассказывать,рассказывает / рассказывай / рассказывала,глаг.,4,13.818162123362223,Леночка рассказывала? Отличный гид ||| еще медленнее  рассказывай ||| Скуфинья рассказывает о скуфе😁,,ru_dict
ракета,ракета,сущ.,4,13.665210008621216,Я хочу называть гномика гномик ракета пж пж ||| Песня просто пушка бомба петарда ракета огонь ||| Одна ракета Су 57 .......,,ru_dict
альбом,альбом,сущ.,4,9.472360372543335,хз альбом каловый рок сори( ||| Да ! Душевный альбом .. ||| Ура новый альбом вышел,,ru_dict
пьяный,пьяные / пьяный,сущ.,4,16.834392090638477,Там отец будто пьяный😅 ||| @MR-X..1832 спасибо за комментарий: забирайте он уже пьяный ||| Читсо за мной бежит мой пьяный папа с битой как тун Тун тун дилдун😂,,ru_dict
яркий,яркий / ярких,прил.,4,9.582323551177979,"Фамос – как Свага, яркий свет,
Он показал, что значит цвет.
Сварщику судьбу раскрыл,
Чтоб мир огнём его зажгил.

Деньги просит – не себе,
А для контента в той борьбе.
Не копит, не прячет в тень ||| Здесь специально опущено нижнее небо, чтобы сделать якобы низкий подбородок. Прэтому такой типа того яркий эффект в итоге . ||| Veo3 слишком яркий",,ru_dict
река,реках / реки,сущ.,4,18.5951589345932,Это твои реки) ||| Пов мои реки : ||| Киров в реках😮,,ru_dict
инвалид,инвалид / инвалидом,сущ.,4,11.456430457881652,"​@Тгйгкг чё это значит что ты инвалид? ||| Перед прослушевания этого произведения мой друг был инвалидом, а после он встал разорвал шторы сломал оконо и выпругнул с 20 этажа ||| Я думал это инвалид за кассой",,ru_dict
олень,олени / олень / оленя,сущ.,4,19.074243307113647,Я видел кафе олень пельмень💀 (рил) ||| Пельмени олени убило ||| я умру с оленя😂,,ru_dict
удин,удин,сущ.,4,17.911612629890442,"С кем трейд с удин дин дин дун обычный , лос бомбинитос обычный 220 к, тралалеро тралала алмазная 75 к, кокофанто элефанто лавовый 105 к. ||| Дать удин Дуна день 19 ||| почему вышел удин дин Дун он помидор съел",,ru_dict
испанский,испанский / испанского / испанском,прил.,4,10.578839778900146,"но испанский 😅 ес казахский бранрот ❤ ||| На испанском китайцы это CHINOS ||| Звук 67 из трека газана, ещё и копия испанского трека  абсолютного с таким же текстом",,ru_dict
ребро,ребра,сущ.,4,10.458037942647934,Ну да чудо сломал ему ребра😂 ||| @Oppo-o9q5yчудо сломал ему ребра ||| Что аж ребра сломал правильно да,,ru_dict
навальный,навальный,прил.,4,14.18807739019394,Навальный был против нашей страны и там даже полицейские пострадали иза Навального он предатель родины ||| но навальный изменик родины  он был против нашей страны ||| @ОлесяКомарова-ъ3ш но навальный он предатель родины,,ru_dict
рекомендация,рекомендации / рекомендаций,сущ.,4,13.08446741104126,Что здесь забыли мои рекомендации ||| Мля шо за рекомендации.. ||| Прошу закреп у рандомного блогера из рекомендаций 2/?,,ru_dict
развиваться,развивается / развиваются,глаг.,4,11.632707516352337,О нет етат понос развивается ||| куда развиваются? ||| Нонок настолько ИМБА что у него волосы эпично развиваются даже в помещении,,ru_dict
ядерный,ядерной / ядерную / ядерный,прил.,4,11.07006456454595,"Ядерный динозавр самый популярней бомбардиро крокодило ||| Тунг тунг сахур использовал атаку БЕГ
дачник использовал ядерный звук ||| У бомбадиро крокодилов ядерка💀 он тупо спросит ядерную на сахура...",,ru_dict
уехать,уехал / уехала / уехали,глаг.,4,14.92002801100413,@akassik полгода назад уехал в Ирландию) ||| Ленинград ах уехала жена ))) заинька моя послушайте ||| американские телефоны создарые русскими которых уехали в америку,,ru_dict
заложить,заложив / заложил,глаг.,4,20.265615572532017,"Фу, а фразу окак заложил еще Быков из интернов в 2010 ||| Прошлое видео сыграем в плохие рифмы он говорит что-то там и пацаны я казино заложил ||| Пацаны я бабушку на пенсиюв казино заложив😎",,ru_dict
решение,решение / решения,сущ.,4,13.108514229456585,Пикми норм єто ее решение бить пикми ||| Тем больше удивление на решение людей перейти на огнестрел с луков ||| Что хочу и делаю ета мою  решение,,ru_dict
meowing,meowing,неясно,4,18.24698680639267,Um actually mewing means meowing ||| The meowing master no cap ||| Cat started mewing instead if meowing 😮,неясно,lat
одновременно,одновременно,нареч.,4,9.069349193572998,Кто трейд лос мобилис 132 и лагранда 150 моя вип одновременно имею 11 пруфов ||| Одновременно сложный и одновременно правильный выбор сделал солдат ||| Я одновременно искул и нормс,,ru_dict
дух,духа / духи,сущ.,4,12.75781062245369,"Когда у Жизни цвет изменит полоса
Допустим чёрный цвет порою станет белый
Мне Душу лучше слушаться тогда
Сорву и плод её тогда я самый спелый


Что в песнях, что в стихах - вся суть одна
Не нуж ||| Спасаем дачника от духа Георгия которого в его вселился, пишем: stop georgy ||| Что ты у неё тут духи показал",,ru_dict
надоесть,надоели / надоело,глаг.,4,11.771966099739075,"Меня тоже надоело обиженные дети,а так игра полный говно ||| Дрында верни рейды мэра всем уде надоели brairots и игра в кальмара раньше ты выдилялся а сейчас ничего кроме brainrots ||| Да блин надоели эти мемы брынрот",,ru_dict
рекрут,рекрутов / рекруты,сущ.,4,15.81803432603677,"@Далой-г5в так это рекруты купили аккаунты титанов ||| Туда этих рекрутов ||| Туда этих рекрутов, зря титана аппал",,ru_dict
кайфовать,кайфует / кайфую / кайфуют,глаг.,4,15.336609557271004,"Детям нравится, кайфуют эт этого трека😊 ||| Я кайфую от пикми герл ||| 2:00 варвар кайфует",,ru_dict
захотеть,захотел / захотят,глаг.,4,12.591222167015076,Я в натуре идеот захотел украсть брейнрот  .Я люблю эта песня ||| Ты уже у второго блогера снял хватит а то тебя захотят ||| ​@SLONTV97да весь автобус захотел😂,,ru_dict
заслуживать,заслуживает,глаг.,4,9.806372046470642,Ведь крокодило не верит в Аллаха это он заслуживает. Так ему. Гусини молодец. ||| Это заслуживает лайка ||| Это заслуживает оскара! Нет за это призедентом сать можно!!,,ru_dict
зарплата,зарплата / зарплату,сущ.,4,10.380061229070026,​@Deathcomesforusallкакие бабки? 100 рублей вот это афигенный зарплата ты на его просмотры посмотри у него нету никакой аудитории ||| Официант зарплату получает ) ||| Зарплата зарплата перешла на чатгапта :) :),,ru_dict
кал,кал,сущ.,4,11.042593479156494,"Все его песни имба, кроме этой и семь чудес. Эти две кал ||| песня да кал ещё тот, но чтоб настолько не понравилась 0о!? ||| Ну и кал",,ru_dict
заработать,заработал,глаг.,4,10.95429801940918,С этого видео дачник заработал почти лям рублей ||| Сразу две статьи заработал. ||| Нармальные панты есть  бабло заработал красава  такой кеш памогбе многим стартонуть достойно адбить и заработать хватило базара нет красавы,,ru_dict
peed,peed,глаг.,4,16.442363500595093,-bro peed himself mid fight- ||| Fanum peed his self ||| Fanum tax peed his pants,"испражняться, мочиться (о человеке)",lat
алла,алла,сущ.,4,17.064859211444855,Алла жазасын берсiн ! ||| бомбардиро крокодило не говорите он Алла не не верит,,ru_dict
записать,записал / запишем,глаг.,4,12.945541232824326,Наконец то оксимирон записал нормальный трек ||| Э ты что голубок да ладно запишем как внезапная дискотека ||| По мнению тс песня сигма бой только для белых. Так и запишем,,ru_dict
заниматься,занимался / заниматься / занимаются,глаг.,4,14.488392988840738,Это правда начила занимался 2 месяца назат ||| 91 день ... Я не занимался немецким... ||| Бегу заниматься...,,ru_dict
пиздец,пиздец,сущ.,4,10.48311160504818,Пиздец тут и бог без силен ||| ​@Рамазан-ч8р7э мне 14 пиздец что срекоминдации ||| А я одинацать и мне пиздец,,ru_dict
качество,качество / качеством,сущ.,4,10.287887414296467,@покевод и над качеством и звуком поработать ||| Качество в вео лучше ||| Veo 3 качество разрушений варивода динамики лутше и уже пришла обнова так что єто тяганини сора гугл +-,,ru_dict
англ,англ,прил.,4,11.522873306274414,"​@aircanda-f2lна англ напиши ||| Вы знали что многие англ думают что анатохыч тоже англ ||| Видос для англ, аудитории",,ru_dict
урон,урон / урона,сущ.,4,11.759414672851562,Ножик реально Имбовый Сколько унего урона прописано ||| Но ведь есть класс вампира у него тоже два раза больше урона и здоровья ||| А на дальние оружыя тоже урон увеличивуетса?,,ru_dict
астр,астра / астрам / астру,сущ.,4,15.95499595006307,"Мне лицо астра командира нравится очень 😂 ||| 0:33 
единственный мелкий персонаж сумел нанести удар астру туалету😅 ||| Дайте просто пульт от лдерки астрам хана",,ru_dict
эволюция,эволюции / эволюцию,сущ.,4,11.667222363253433,сделай эволюцию брейрот плис ||| Попал на 20 эволюции назад ||| Стикер: успех эволюции,,ru_dict
cameraman,cameraman,сущ.,4,30.39965930581093,Gái xinh cameraman và speakerman😂 ||| CH4D Cameraman in episode 67 would go hard too ||| The infected skibidi to bron cameraman:😃😐,"оператор камеры, часто в контексте съемок мемов или развлекательных видео",lat
образ,образа / образы,сущ.,4,11.489721655845642,Классный трек!И образы огонь🔥 ||| Передний зуб стёрт об семечки в тему образа ||| ​@danyarintaro6713скуф имет такую внешность именно из-за образа жизни,,ru_dict
сахарок,сахарка / сахарки / сахарок,сущ.,4,16.92408076922099,Сахарки топ ||| ​@AgentTikTok1488у неё наверно такой же скин сахарка ||| Сахарок и уходит,,ru_dict
ехать,едет / едут,глаг.,4,11.714355150858562,"Кроме едет такая прическа ||| Едет полиция
**Беседа с Windows** ||| На опущеном приора - едут ахать овец в попа?",,ru_dict
пикнуть,пикни / пикну,глаг.,4,28.13732429345449,Только пикни ||| Если вы правда пикми то я вам лайк пикну👍😂 ||| Опять пикни палочка,,ru_dict
ислам,ислам / ислама,сущ.,4,11.579673647880554,евруха мечтай дальше. Ислам сила ||| Аллах извини Газана он не знает перивод  эта от ислама ||| Так это наоборот оскорбление ислама...,,ru_dict
пускай,пускай,союз,4,13.30854845046997,"Я газана скрытый талант
Пускай дальше хорошо скрывает ||| бамбордиро крокодиро пускай там сдохнит перевод знаешь ||| Это лучшеее что я слышал брат делай дальше пускай пк дорожают красава брат",,ru_dict
pikmi,pikmi,неясно,4,24.641418874263763,Это что pikmi палочка ||| Pikmi полка❤ ||| 6 pikmi ты тоже реально,неясно,lat
закинуть,закинул / закинуть,глаг.,4,13.441652625799179,"Сними закинуть в Санта  
Фюс машину строби елефат ||| Также Лукан который закинул туда 1 Драгон канелони и 3 гарама а ему выпало лос комбинация 💀 а ему из 4 лопат лос хос пот выпал ||| Когда была фьюз машина он закинул обычные секретки и выпал Лос хотспоситос на 20 м",,ru_dict
наверняка,наверняка,нареч.,4,9.810323983430862,"слышу от зумера наверняка))) ||| Они наверняка бы сказали легендарное bober kurwa) ||| ""Чтоб наверняка!""- подумал Фиеско заряжая 25  стволов....",,ru_dict
капибара,капибара / капибару,сущ.,4,20.827057525515556,Я уже сделал два свои русские брейнроты Я сделал капибару любитель сигарет и ананас тигр ||| Капибара какос ||| Он не бабёр он капибара😂,,ru_dict
учитывать,учитывать / учитывая,глаг.,4,11.270021120707195,ну знаешь.. как посмотреть. учитывая что Нонак бы придумал бы что то явно ужасное для нее живой ||| @vallirantart6266 плоть звучало как то стремно учитывая саму историю поэтому решил написать именно кожа ||| Если в конце не учитывать магию то всё кажется физикой благодаря младшему брату который ливитиравав,,ru_dict
ерунда,ерунда / ерунды,сущ.,4,12.805544932683308,Снова типичная ерунда ||| ​@stepashakarкак раз таки ерунда ||| Ерунды ерунда,,ru_dict
надеть,надел / надеть,глаг.,4,9.873030026753742,Д рында надел 2 очки ||| Дрында настолько гений что 2 пару очков надел ||| Фрулы фрула его можно создать просто найти птицу такого цвета и надеть очки т ВСЁ.,,ru_dict
жалкий,жалка,прил.,4,13.696513652801514,Жалка гнамика я влт люблу дод 67 гкак газан и лагронде ||| Мне жалка  Вики ||| Мехронна тебе жалка жами😢,,ru_dict
пустой,пустой / пустую,прил.,4,11.330754280090332,​@Клим-ъ7ену это уже хейт в пустую в роблоксе очень много достойных игр ||| Ну_как тебе пить пустой энэргос ||| Вага вырыл пустую бутылку кто тоже заметил сюда👇🏿,,ru_dict
