"word","forms","kind","pos","doc_freq","mean_surprisal","examples","verdict","meaning","pos_llm","origin","register","pos_llm_norm"
"умный","умная / умнее / умный / умных","ru_dict","прил.","17","16.4861525611745","У кого больше лаков тот умный❤ ||| ​@gangerxXx че быкуешь сразу ? Лпять агро самый умный нашёлся ||| Бро посмотрел много >умных< шортсов","","","","","",""
"честно","честно","ru_dict","нареч.","17","10.42132318721098","Мне с первого раза выпал честно ||| Еще учусь, честно😶 ||| Честно из игры ла 2","","","","","",""
"искусство","искусства / искусство","ru_dict","сущ.","17","10.081046626681374","Когда у Жизни цвет изменит полоса Допустим чёрный цвет порою станет белый Мне Душу лучше слушаться тогда Сорву и плод её тогда я самый спелый Что в песнях, что в стихах - вся суть одна Не нуж ||| Крик дачника в конце отдельный вид искусства ||| Акула отдельный вид искусства","","","","","",""
"детский","детская / детские / детский / детским / детской / детском","ru_dict","прил.","17","12.307839433352152","МММ детская игра вот раньше были лучше ||| Он имеет право матерится даже если это детский контент итак леди и похуже знают маты ||| Вот это детский контент😂","","","","","",""
"написать","написали / написанные / напишет / напиши / напишите / напишу","ru_dict","глаг.","17","10.955970379479583","Реже то что Холи бам напишет под клиентом проверяем ||| ​@aircanda-f2lна англ напиши ||| Кто даст секретку ник напишу если ответете","","","","","",""
"парень","парней / парни / парню / парнями / парнях","ru_dict","сущ.","17","11.849956450859706","Бобра добра и здоровья) молодецы парни ||| Я слушаю целями днями парни это шедевр уже наизусть выучил! Заставляет улыбаться в трудную дорогу:)! ||| Там только парни)","","","","","",""
"экран","экран / экрана / экране / экраном","ru_dict","сущ.","17","11.305746812479837","Елена это 7 чек экран бездарь ||| Я один пытался убрать волос на экране? ||| Я один пытался волосину убрать с экрана?","","","","","",""
"скрипт","скрипт / скрипте / скрипты","ru_dict","сущ.","17","18.29715932054179","А я один заметил то что Данчик снимает видео совместно со скрипте получается обман ||| скинь скрипт ||| Скрипт имба и видео тоже","","","","","",""
"сам","самим / само / самому / саму","ru_dict","прил.","17","10.383181447074527","Само это видео брэинрот... ||| Фиксай такой богатый и крутой что продолжает делать эдиты самому себе ||| У меня тоже так само только когда редкий продается","","","","","",""
"съесть","съел / съест / съешь","ru_dict","глаг.","17","12.927289888262749","Если Mrona съел 1000 клонов wyrum ||| Холи бам чуть от радости микрофон не съел ||| Холи бам чуть микрофон не съел :₽","","","","","",""
"нога","ног / нога / ноги / ногу","ru_dict","сущ.","17","10.840514293561379","Я один возле ног палку увидел........ ||| Собираем соне на ногу ||| Вам смешно а чел ногу отрезал","","","","","",""
"открыть","откройте / открыл / открыт / открыта / открыть","ru_dict","глаг.","17","12.989602957169216","А база всегда открыта с лос брос гелакси ||| Амерку открыл ||| Я сегодня лаки блок открыл и мне он сразу выпал весь день радостный хожу","","","","","",""
"проиграть","проиграет / проиграешь / проиграл / проиграли / проиграло","ru_dict","глаг.","17","10.518222773533601","Бульбадозер Синий синий он работает и создал Минск сам он борется с зубастым бизоном гауда гауда нет он проиграл ||| Бульбодозер блюн блюн Он работает Я сам собираюсь сделать Минск.Борется с зубастым зубром! Гауда Гауда Нет-нет проиграл! ||| Бульбадозер блюй блюй Йон процуе из царства реуминск сражается с зубастым зубром гауда гауда неее проиграл","","","","","",""
"братан","братан / братана","ru_dict","сущ.","17","15.576208803802729","выход один братан ||| Ты всегда его получше братан ||| Братан лос хотспотситос редкий он с первой фьюз машины","","","","","",""
"есть","ела / ели / ест / ешь","ru_dict","глаг.","16","12.379754273309594","Брр ест е патипум ||| Я их обеих ели как выговорил ||| Холи не ешь микрофон это не шоколад","","","","","",""
"молодой","молодая / молодой / молодые / молодым / моложе","ru_dict","прил.","16","11.323626041412354","Этот бром рот слабый Он молодой лёд лучший секретки секрет лучших городи ||| Вообще молодец удел этого бомбардиры крокодила тра-ла-ла тра-ла-ла молодые награда тебе нужна класс б**** ||| Он хотел сказать фарту молодым","","","","","",""
"месяц","месяц","ru_dict","сущ.","16","9.060624398291111","Прошёл месяц от этой песни офигеть за окном блинрот 1:42 ||| @Miha_735 гений этот коммент вышел месяц назад ||| Я перез 5 месяц","","","","","",""
"доска","доска / доске / доску","ru_dict","сущ.","16","10.922158562947834","Это мод почему на доске ничего нет ||| Он имеет виду доску лидеров и где показывает когда выйдет мифик и лега а может у него просто не прогрузилось ||| А норм что на доске нечего нет и 2 вопрос я слышу дракон канелони не возможно выпить","","","","","",""
"плохо","плохо","ru_dict","предик.","16","10.38867324590683","Когда у Жизни цвет изменит полоса Допустим чёрный цвет порою станет белый Мне Душу лучше слушаться тогда Сорву и плод её тогда я самый спелый Что в песнях, что в стихах - вся суть одна Не нуж ||| Я услышала мать сева и соня материца плохо. Не надо пожалуйста ||| Тралалеро норм дрында плохо знает игру","","","","","",""
"мера","мера / меру","ru_dict","сущ.","16","16.055683121085167","Зарейди мера итальянскими гибридными животными ||| @CommonSense_BB врятли он сделает опять видом про рейды мера а просто посмотри на просмотры по бренротам и с рейдами мера ||| можеш пожалуста ввернуть видео с герисом без этих брейротов рейд мера и тд","","","","","",""
"голова","голова","ru_dict","сущ.","16","9.915097614129385","Бедные сева у него у голова болит ||| Тут левый монстр , там смесь больших существ , а справо какойто двух метровый качок у которого место рук банки и на голове голова лягушки ||| ​@ZPhuman1410ну хотя бы голова не болит у 67 болезнь а у хантавирус а болит голова...","","","","","",""
"нечего","нечего","ru_dict","местоим.","16","9.988375335931778","Нечего страшного и нету ||| А норм что на доске нечего нет и 2 вопрос я слышу дракон канелони не возможно выпить ||| Это мод на доске и на топ лидеров нету нечего","","","","","",""
"получиться","получилась / получился","ru_dict","глаг.","16","10.796954721212387","Как всегда имба получилась😊 ||| Кстати... Очень похоже получился костюм! ||| Чосо красивый получился","","","","","",""
"зайти","зайди / зашел / зашло / зашёл","ru_dict","глаг.","16","12.438818219304085","Это я когда зашёл в укради брейнрот мод и я пытаюсь увидеть нубини пиццанини ||| Пов когда зашёл в модифицированную версию ||| это семми зашёл на приват и дал удачу","","","","","",""
"ого","ого","ru_dict","межд.","16","9.185470847522511","ого,я это писала вашему менеджеру эту идею,вы сказали - дадим 800 рб за идеи видео в 99 ночей или укради брайнрот. ||| Ого крутой песня😂 10/10 ||| Ого як гарно😮","","","","","",""
"scp","scp","lat","сущ.","16","19.12303487956524","The 67 kid is actually the entity scp-67 ||| the kid is a 67 scp ||| Лишь достойный мог сложить scp, metro2033 и 67 в одно целое","review","термин, обозначающий сверхъестественное существо или объект из одноимённого фэндома SCP Foundation","существительное","английское сокращение от 'Secure, Contain, Protect' (название проекта)","мем/сленг","сущ."
"блогер","блогер / блогера / блогеры","ru_dict","сущ.","16","11.757077680457206","Фиксай самый лучший блогер ||| ​@Pubg_Wise ну блогеры играют жи в рб майн амонгасс в бравл папг стандофф ||| Фиксай ты лучше Блогер по роблоксу❤","","","","","",""
"обычный","обычного / обычное / обычной / обычному / обычную / обычные / обычных","ru_dict","прил.","16","11.225613224719252","Лучше обычное мороженое ||| Я его получил за 4 секреток обычных ||| Ну в таких играх модированых ждать что бы вышел нубини пицанини нужно столько же ждать сколько и ставбери элефант в обычной игре","","","","","",""
"видеть","видело / видеть / видит / видь","ru_dict","глаг.","16","12.46782100200653","Когда у Жизни цвет изменит полоса Допустим чёрный цвет порою станет белый Мне Душу лучше слушаться тогда Сорву и плод её тогда я самый спелый Что в песнях, что в стихах - вся суть одна Не нуж ||| Дрында пр когда видело с анатохичом ||| Кто не на видит тун тун тун сагура","","","","","",""
"слава","слав / слава","ru_dict","сущ.","16","10.170257159074147","Когда у Жизни цвет изменит полоса Допустим чёрный цвет порою станет белый Мне Душу лучше слушаться тогда Сорву и плод её тогда я самый спелый Что в песнях, что в стихах - вся суть одна Не нуж ||| Троророле тририра Имбуля Гозан топчег Клип буджэт 30 миллионов бублей минус 29.999.999 бублей Слава просто душу раздираюд и крута ||| Кто любит Бомбардиро Крокодилдо напишите ""Слава бомбам""","","","","","",""
"испугаться","испугался","ru_dict","глаг.","16","11.469311356544495","сратос испугался ||| Мне одному интересно испугался би от етого донут или наоборот ||| Я испугался смеха","","","","","",""
"реакция","реакции / реакция","ru_dict","сущ.","16","11.575033530321988","Оооооло мой лубимый реакция ||| Реакция когда играешь в мол укради Брайнрот: ||| Согл чисто реакция айшолспида😅😅","","","","","",""
"джина","джин / джина / джине","ru_dict","сущ.","16","13.19357330458505","​@DeadUnderhood да етим додикам вселился джин ||| джин пожелал обзор на игры от юбисофт и еа ||| Мне кажется или озвучивал Джина каргас?","","","","","",""
"реклама","реклама","ru_dict","сущ.","16","10.620724733918905","Это реклама нового телефизора под название прикодалесокарафессо ||| Реклама Кирова ||| Та самая реклама казика перед пх:","","","","","",""
"домик","домик / домика / домике","ru_dict","сущ.","16","12.042632170376322","Я гномик дэпнул в казик я свой домик ||| Беднинкий гномик нада уже ему домик дать ||| Один лайк один домик для гномика","","","","","",""
"акула","акула / акулой / акулу / акулы","ru_dict","сущ.","16","14.709383051310267","Снеми песьню про акулу ||| А началось с рейда раньше а теперь эээыэы сахур трип бомбандир акула в найках синих ||| Газан твоя акула танцует просто супер особенно в кроссовках","","","","","",""
"дом","дома / доме","ru_dict","сущ.","16","11.019761716326077","Забыли как каша дома пахнет !? ||| Ты знаешь что это знаешь что это так твои доме или нет а ты веришь что твоими дома живёт Глинка принеси его😅 ||| надеюсь детским доме это наверно не детдом😂","","","","","",""
"мёртвый","мертва / мертвого / мертвые / мертвых / мёртвого / мёртвое / мёртвые","ru_dict","сущ.","16","13.83751151391438","Лучше бы пыльную мертвые снимал там как раз новая машина в пыльной я ее выбил могу дать обзор ник UHGAMES1M ||| теорія мертвого інтернету реальна ||| теория мертвого интернета сбывается","","","","","",""
"брейн","брейн","slang","сущ.","16","17.29992488771677","Так сказать обмен Брейн ротами ||| Ты самый крутой укради Брейн рот мем ||| Пов самый редкий Брейн рот в modded версии","","что-то связанное с мемом или шуткой, вероятно, искажённое или намеренно изменённое изображение/видео (например, рот персонажа)","существительное","вероятно, от англ. brain (мозг) с искажением или игрой слов, возможно, связано с мемом 'Brainrot' (поражение мозга мемами)","мем/сленг","сущ."
"вип","вип","slang","сущ.","16","11.749647421871916","Трейжу ла гранде с бафом 62 ляма ищу лос хотпсот, кетупат кепат , еслк секолах и гарам моя вип могу быть первым ||| Кто трейд лос мобилис 132 и лагранда 150 моя вип одновременно имею 11 пруфов ||| Кто хочет на вип ник halklox52","","уровень доступа или привилегий в игре, дающий преимущества перед другими игроками","существительное","сокращение от английского VIP (Very Important Player)","мем/сленг","сущ."
"фрула","фрула / фрули","slang","сущ.","16","19.086656558135196","Он пропустил фрули фрула. ||| Блин трули меро такой няшка и фрула тоже ||| Фрули фрола","","неясно","неясно","неясно","мем/сленг","неясно"
"свага","свага","slang","сущ.","16","17.03471491113305","Св свага а ||| СВАГА ДОДЕП ПАКАЙО ||| Свага","","неясно","неясно","неясно","мем/сленг","неясно"
"нефор","нефор","slang","сущ.","16","24.177228320389982","А ты нефор) ||| ​@introvert_s_ambitsiyami Как нефор скажу что это не так ||| О нефор","","оскорбительное обозначение человека, не соответствующего ожиданиям или стандартам (чаще всего в интеллектуальном или социальном плане)","существительное","искажение слова ""неформат"" или ""не формат""","мем/сленг","сущ."
"случайно","случайно","ru_dict","нареч.","15","10.565654150644939","Лучше поосторожнее то можно штаны случайно😅 ||| Я случайно угодал я не знал ||| Капец конечно дети бесмертные .. сами ходят машины царапают , а я в из возрасте боялась просто машин касаться рукой даже случайно . За метра 2 обходила .","","","","","",""
"минус","минус / минусов / минусы","ru_dict","союз","15","11.048524993838685","Нифига себе конечно он минус ушёл лос комбинасион ||| Работает мы так з другом делали но только есть минус тест здесь еще не сказал то что надо чтоб друг еще бил игрока чтоб он тебя не догнал ||| Минус легенда...","","","","","",""
"лавака","лавака","slang","сущ.","15","23.0197935923934","нет он ещё пропустил лавака Сатурн Сатурнита ||| Реально! Ты прям повторил всю игру! У меня кста лавака есть. Про всё тут жиза. Особенно когда админ лаки блок заспавнился и лавака и тралерилита все начали там турель ставить со всяки. Мечами ||| Мне лавака сатурнито выпал","","что-то хорошее, удачное или удача (например, выпавший редкий предмет в игре)","существительное","вероятно от английского 'lucky' (удача) с искажением произношения/написания","мем/сленг","сущ."
"выкупить","выкупи / выкупил / выкупила / выкупили / выкупят","ru_dict","глаг.","15","15.36197206735611","Челы рофла не выкупили ||| ​@ЯяяОоо-г1вребёнок рофла не выкупил ||| не выкупил","","","","","",""
"путин","путин / путина / путину","ru_dict","сущ.","15","13.805797254755383","Ассасина лулушшущ двойника Путина ||| есть пол путина бабушки - все остальные запрещены ||| @Tristam_ Путин одобряет к себе такое отношение ))","","","","","",""
"использовать","использовал / использовали / использует / используй / используют / использующие","ru_dict","глаг.","15","11.873735535475943","Не пережевайте Тралалело тралала использовал Тотем бессмертия когда Бомбардиро его Законтрил так что не плачте ||| Тунг тунг сахур использовал атаку БЕГ дачник использовал ядерный звук ||| Дрында не используй в словах 2 мема про крокодило и акулу в в кроссовках чекни перевод ты задумаешься..","","","","","",""
"ана","ана / ане","ru_dict","сущ.","15","12.229361653327942","Ты сказал выпить Ане выбить ||| Там в конце кон что ана спалила😂 ||| Мая сестрёнка болеет когда Ана плакала я включила это и Ана уснула","","","","","",""
"соло","соло","ru_dict","нареч.","15","14.252919777234395","Анпалибабель в соло😈 ||| Тралело траляля в соло всех (кроме бомбордиро крокодило) ||| Тун тун в соло","","","","","",""
"чело","чела / челах / челом / челу","ru_dict","сущ.","15","13.920267817253867","у меня тоже такое было я у чела украл Los pot hotspot а у мя украли тралалеро тралала ||| А почему можно была же поставить капкан сзади чела базы потом зельем меняться игроками и украсть легко ||| Он чела укусил XD","","","","","",""
"волк","волк / волку","ru_dict","сущ.","15","13.517782600862638","Пов: Космический Волк тренирует гвардейца ||| А ведь этот нож дал волк ||| Этот ИМБА нож, Волк выдает 😊","","","","","",""
"управлять","управляет / управлять / управляющим","ru_dict","глаг.","15","11.432357371294941","Тралалеро тралала умеет быстро бегать а лилили ларила умеет управлять временем ||| Я не знаю 😂 конечно что он выбирает но лирили ларила управляет временем ||| Самый сильный лирили ларила он управляет временем","","","","","",""
"редкий","редкие / редкий / редкого","ru_dict","прил.","15","9.783917889450535","Офигеть хулиган как это смог сделать Офигеть это самые редкие почти😮 ||| Емааа холи бам лос годсподитос ето самий редкий боеинрот! Ти лутший! ||| Братан лос хотспотситос редкий он с первой фьюз машины","","","","","",""
"факт","факт / фактами","ru_dict","сущ.","15","11.262246931237833","А ничотот факт,что это имба ||| Ты норм? А ничо тот факт что я слэээй ||| Где слово факт?","","","","","",""
"нолик","нолик / нолика","ru_dict","сущ.","15","17.372638673944905","Нолик доказал что не терпила ||| Герпения Нолика ||| Нолик з******* там сидеть","","","","","",""
"кидать","кидай / кидайте / кидал / кидать / кидаю","ru_dict","глаг.","15","12.81075440918406","Кому вип кидайте в др MISTER_DODEP скин медведя ||| Кто на приват правила нельзя красть,не нуб ник lectnica1 кидайте первые др не могу ответить ||| Кто хочет вип правила 1 не воровать 2 кто 1 купил то во и брейнрот кидайте на ник жду вас","","","","","",""
"закрыть","закрой / закроют / закрыл / закрыла / закрыли","ru_dict","глаг.","15","11.55488451162974","У меня было такое но базу закрыли ||| А ты не тупил бы а базу закрыл бы ||| может такого быть да это мне закрыли точно это просто сделай надо ролика","","","","","",""
"изгой","изгои / изгой / изгоя","ru_dict","сущ.","15","19.21145161595007","Из легенды в изгоя😢 ||| Изгой общества ​@Telivizer ||| @ изгоя спалили","","","","","",""
"сервер","сервер / сервера / сервере","ru_dict","сущ.","15","10.720634140751578","Ищу Приват сервер ник: pampers_Ultro ||| Зашли на сервер и чел вышел😊 ||| Вы на сервер не одни будете","","","","","",""
"diddy","diddy","lat","неясно","15","24.43117592136065","His getting diddy ||| boiiii ts so frigging tuff 67 diddy blud mustard only in ohio ||| No diddy","meme","неясно","неясно","неясно","неясно","неясно"
"данчик","данчик / данчика","slang","имя","15","19.019556841679982","Данчик ради одного не интересного видео оскорбил Бога ||| Данчик это моод ||| Поф пародия Данчика","","ироничное или саркастичное обращение к человеку по имени Даня (Даниил), часто с оттенком насмешки или подражания.","существительное (обращение)","сокращение от имени 'Даня' с суффиксом '-чик' для придания ироничного или фамильярного оттенка","мем/сленг","сущ."
"рейд","рейд / рейда / рейдами / рейды","ru_dict","сущ.","15","12.481502064583557","А началось с рейда раньше а теперь эээыэы сахур трип бомбандир акула в найках синих ||| Он вернёт максимум рейд тум тум Сасуна( ||| @CommonSense_BB врятли он сделает опять видом про рейды мера а просто посмотри на просмотры по бренротам и с рейдами мера","","","","","",""
"нормально","нормально","ru_dict","нареч.","15","10.432087063789368","У меня вечно хотели украсть какой-то мимик брейрота но бесят нормально выйти не могу уже из базы ||| А нормально что тукано банано выходит бананита дольфинита..... ||| Вы нормально человек который объесняет про это спасибо❤","","","","","",""
"идеальный","идеальна / идеальная / идеальное / идеальные / идеальный / идеальным / идеальных","ru_dict","прил.","15","12.639191465718406","Ритм идеальный голос тоже но браиноты все портят ||| Гений идеальных мемов ||| Конец был идеальным😂","","","","","",""
"единственный","единственна / единственного / единственную / единственный","ru_dict","прил.","15","13.566619114233898","У меня единственного флежбек кошки картошки и мышки сасисики ? ||| Не единственный... ||| самый первый это единственный человека подобный","","","","","",""
"ухо","уха / ухо / ухом / ушей / уши","ru_dict","сущ.","15","12.252586379647255","что за великолепный кайф для ушей ||| Аж кров тече з ушей слушая тібя і пісні ||| Это рай для ушей))","","","","","",""
"бист","бист","slang","сущ.","15","14.08294223935809","(Че)ченский мистер бист ||| Мистер Бист обязан это увидеть ||| Прикиньте, мистер бист настоящий заметит это видео","","очевидно, что это обращение к чему-то или кому-то важному, значимому, возможно, к самому себе или к зрителю; подчеркивает значимость или преувеличенную важность","существительное (обращение)","вероятно, от английского 'beast' (зверь, монстр) в значении 'крутой/сильный/невероятный'","мем/сленг","сущ."
"сквирт","сквирт","slang","сущ.","15","15.985360670089722","Сквирт ето брызги, только на английском ||| Сквирт лимончика топ)))))) ||| Сквирт лимончика 😂","","брызги жидкости, обычно сока или напитка, при распылении или разбрызгивании, часто в контексте развлечения или шутки","существительное","английское слово squirt (брызгать, струя)","мем/сленг","сущ."
"roblox","roblox","lat","сущ.","14","28.511577810559952","А можна разом з вами в roblox поиграть 99 ночей вилізу ||| ООМАГАД ЧЕБЕ ПАВИЗЛО 🥳👍 А мне мама не разисаед играч Roblox😞 ||| Самого конца - это Рубин пятилетний ну roblox","review","упоминание популярной онлайн-игры Roblox как предмета обсуждения или игры, которую комментатор хочет или играет","существительное","английское название игры Roblox","мем/сленг","сущ."
"ожидать","ожидаем / ожидаемо / ожидает / ожидал / ожидала","ru_dict","глаг.","14","10.874293235937753","Он тайминг ожидает в моде ||| Не ожидала такого от бомбардиро крокодила😮 ||| Аминка есть живот я не ожидала не хейт","","","","","",""
"готовить","готовил / готовим / готовит / готовить / готовьте / готовят","ru_dict","глаг.","14","13.33292347178967","Всё мы опоздали, они захватили миру. Быстро готовьте. Бамбадилапиани глубину и так далее. ||| Вдвоем со столом вдвоем на ужин готовим поля давай поговорим бобер ||| Сидим з бабром за столом 2 на ужин готовим паляну давай поговорим бобёр о том сто На болела лайк поставил я старался😢","","","","","",""
"становиться","становитесь / становится / становятся","ru_dict","глаг.","14","11.48568081855774","У Ред кета становится мало актива и за этой хрени.. ||| Легче украсть так: становитесь га капкан свапаесь друг ставит на него капканы а потом тянет его магнитом за мин вы точно добежиье до базы ||| Этим мем становится красочнее","","","","","",""
"ответить","ответил / ответила / ответит / ответь / ответьте","ru_dict","глаг.","14","12.02411176335244","Емае фиксай ответил ему ||| Я на одного только ответила... ||| Там ужасный перевод кто согласен ответьте мне","","","","","",""
"добить","добил / добила / добило","ru_dict","глаг.","14","16.980258789879304","1 убило 4 добило маты закопали😊😂 ||| Я добил 67 комитариев я легенда 6777 ||| Видео убило описание добило.","","","","","",""
"обнова","обнова / обнове / обнову / обновы","ru_dict","сущ.","14","15.92967613140742","Помнишь на другой обнове говорил разработчик храните спайдеры и вот ||| ребят это было на обнове тогда когда сэмми включает халявную удачу на фуз машину ||| пов я на обнове","","","","","",""
"подписать","подписала / подписан / подписана / подписать","ru_dict","глаг.","14","11.083021120591598","Дрында дарова я на тебя подписан и на Холи бам ||| Подаришь кого-то я на тебя подписан ник Yzbeku такой коричневый кожей ||| Холибам я натебя подписан","","","","","",""
"мина","мин / мина","ru_dict","сущ.","14","11.487351490901066","Легче украсть так: становитесь га капкан свапаесь друг ставит на него капканы а потом тянет его магнитом за мин вы точно добежиье до базы ||| 4 мин назад ен теперь к тебе ночью придёт бабайка прячся ||| 3 мин назад","","","","","",""
"админ","админ / админа / админами","ru_dict","сущ.","14","14.495117670959898","А я открыл после админ абьюза и мне тоже выпал туалет +мутация паука 260м в сек это даже лайка не наберет😢 ||| я с админ абюза с первого лаки блока выбил ла гранде💀 ||| Он просто админами дружит ха этого везёт","","","","","",""
"королева","королева / королевами / королевой / королеву / королевы","ru_dict","сущ.","14","13.146176389522022","Кто заметил на заднем фоне трое лера королева папа ||| Вообще то фанаты Вики шоу конечно это все знают а зачем это говорить всем ты кринж Вики шоу королева ||| после такого трека хочется повторить, глеба королева, и ронни магнагета","","","","","",""
"наверно","наверно","ru_dict","союз","14","10.079928466251918","Это наверно обмен ||| если вы наберете 50k лайков тогда наверно фиксай сделает новую песню про брейнрот🙂 ||| Он наверно панічку славіл","","","","","",""
"официант","официант / официанта / официанту","ru_dict","сущ.","14","12.254312811295192","Плюс к карте официанту ||| Официант мега адекватный ||| Официант зарплату получает )","","","","","",""
"заходить","заходи / заходит / заходите / заходить / заходишь / заходят","ru_dict","глаг.","14","12.188565753565895","Steal a brainrot /\ trade chat - заходите!!!!! ||| А что если богатый чел не заходит в укради брейнрот? ||| заходите на вип ник tagir9950","","","","","",""
"называть","называемых / называет / называть / называю","ru_dict","глаг.","14","11.168687301022665","Я хочу называть гномика гномик ракета пж пж ||| Он взял до юр патаписа потому что он так называет подпищиков😅😅😅 ||| Шпионить голубио его можно НКВДшником называть","","","","","",""
"попасть","попавшие / попал / попали / попасть","ru_dict","глаг.","14","10.904789975533882","У меня метеорит попал в мадидинь дуня теперь он делает 300к в секунду ||| Попал на 20 эволюции назад ||| Я надеюсь хотя бы чтобы старая аудитория попал в голову этому автору","","","","","",""
"палочка","палочка / палочку","ru_dict","сущ.","14","13.488118721793096","С Перми палочка ||| Пикми палочка ||| Правильно это пик ми палочка","","","","","",""
"продолжение","продолжение","ru_dict","сущ.","14","10.42732259829839","Продолжение брейнрот:❌ продолжение мышки сосиски:✅ ||| Дрында давай продолжение челленд эмодзи страны с гномиком ||| Дачнииииииииик, здорова когда продолжение по вырасти сад , а то заберу у тебя дом и депну в казик.","","","","","",""
"звучать","звучало / звучит","ru_dict","глаг.","14","12.195901251200473","Последний звучит как призыв херобрина ||| это звучит смешно потому что говорится быстро ||| Это звучит больше как реальный трек окси, чем то что он реально выпускает","","","","","",""
"переводиться","переводится / переводиться","ru_dict","глаг.","14","13.609164449301634","Брейнрот переводится гниение мозга ||| Brainrot переводиться гниение мозгов 🤓 ||| Так тралалеро тралала не переводится","","","","","",""
"батя","бати / батя","ru_dict","сущ.","14","11.773278528514009","Барри , Ларра Смит , батя глупого парня ||| Блин помню смотрел их в детстве я даже не узнал давида хотя батя праймом остался🎉 ||| Батя чучуть по курил","","","","","",""
"напоминать","напоминает / напоминать / напоминаю","ru_dict","глаг.","14","11.142037643326653","пельмени китайские напоминаю ||| Начало напоминает паровозик Томас ||| Он напоминает нам оригиналы это плюс","","","","","",""
"паспорт","паспорт / паспорта","ru_dict","сущ.","14","10.42793385187785","@ksssenal обложка на паспорт бобр ||| @ruslangopstop2690 на границе паспорт даёшь без обложки ||| Так это же Симоньян паспорт.","","","","","",""
"sahur","sahur","lat","неясно","14","22.077156211648667","Чеклетея чеклетея: Сигма бой: Тоби Тоби Тоби Тоби тоб Job job job sahur ||| Первый это chiclereta bicicletera а четвертый это job job job sahur ||| chicleteira de micleteira 1 4 job job job sahur","meme","неясно","неясно","неясно","мем/сленг","неясно"
"очки","очками / очки","ru_dict","сущ.","14","9.798033271517072","Очки легенда ||| Д рында надел 2 очки ||| Две пары очков не две очки","","","","","",""
"автор","автора / авторам / авторы","ru_dict","сущ.","14","12.037785881095461","це дуже крутий трек дякую авторам и их 4 отцам за то что родились ||| мда прост у глента своровал хотябы автора написал бы ||| У автора скрытый талант Пусть дальше скрывает","","","","","",""
"хотеться","хочется","ru_dict","глаг.","14","9.034268545252937","Когда говорят нет всегда хочется зделать наоборот это привычка ||| Блин Хочется этот мод ||| Блин теперь хочется себе трипи тропа или трулимера труличина","","","","","",""
"поздравлять","поздравляю","ru_dict","глаг.","14","10.28379048194204","Холибам поздравляю с 10m и с Los Hotspoysitos и надеюсь что ты получишь дракона когдато❤ ||| Холибам поздравляю тебя с новой секреткой ||| Холибам Поздравляю с таким брэйротом","","","","","",""
"пот","пот / пота","ru_dict","сущ.","14","10.422765832680923","Давай обмен я дам пот хотспота ||| Что дашь за лос комбинас и пот хотспот ||| А где пот хотспот и тоб Тоби тоб тоб Тоби тоб?","","","","","",""
"целый","цел / целые / целый / целых","ru_dict","прил.","14","11.545367936293284","Я из лаки блока получила целых три los combinacio ||| Мне в этом выпадал целых три раза дубини пицца ни ||| Фиксай Я в афиге с тебя ты как так смог это фиксай это roblox card 000 целых 1% вот это вот вспомни этого редкого туалета","","","","","",""
"ролик","ролика / ролике / ролики / роликов","ru_dict","сущ.","14","11.16585491434671","Вот куда делся Холибам, а ролики выпускает Михадзен😂 ||| А мне нравится его ролики смотрят совсем это Брест ты Патрику ||| Фиксай я твой подаишик вышли про теьюбя ролики например мяул сломал комп твой.❤","","","","","",""
"помнить","помним / помните / помнят","ru_dict","глаг.","14","10.273613135019938","Только легенды помнят нянкэта... ||| помните мемы по типу мышки сосиски? ||| Помните шлакобокуля","","","","","",""
